TransactionAmt,Source,Target,Date
1,39027,39075,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39075,2011
1,39017,39075,2011
1,39017,39075,2011
1,39017,39075,2011
1,39017,39059,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39059,2011
1,39032,39059,2011
1,39032,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39027,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39065,39075,2011
1,39070,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39093,39075,2011
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39059,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
