DC,CODMUN,LONGITUD_E,LATITUD_ET,CODAUTO,CPRO,CMUN,NOMBRE,COMARCA,NOMBRE_COMARCA,MINMDT,MAXMDT,MEANMDT,MINPENDI,MAXPENDI,MEANPENDI,MINDISN10M,MAXDISN10M,MEANDISN10M,MINCARRETN,MAXCARRETN,MEANCARRETN,MINDISAUT,MAXDISAUT,MEANDISAUT,MINDISFERR,MAXDISFERR,MEANDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
9,39027,-4.1279202735,42.99275126375,6,39,27,Campoo de Enmedio,2,Campoo-Los Valles,0.6729967577582214,0.3316350162112089,0.5459874993052338,0.0,34.526546,9.379957,0.982389159477708,0.7233332486571856,0.8618897007672887,0.9997003961928592,0.7322583215228301,0.893539424818435,0.999994166741495,0.8221138861275239,0.9253342747922716,0.997427308036072,0.7467379653231633,0.8601800068660683,0.2622509877801711,0.6936111470480705,0.6337043316372294,0.6746501269556133,0.4553921557294936
1,39017,-4.001016717571429,43.02056514071428,6,39,17,Campoo de Yuso,2,Campoo-Los Valles,0.6530801296896711,0.3886058360352015,0.571780264937471,0.0,33.572449,6.558114,0.8830743634230299,0.3632341743172058,0.6232015578550417,0.9974155690166282,0.564334354687603,0.7486112324848411,0.9517692931643664,0.3682701139283714,0.6694493727553756,0.8947367290971636,0.5518727414514488,0.686047134135765,0.3229724044787543,0.7506614079942968,0.6472176236308004,0.0718057454231398,0.4777758772516739
4,39032,-4.229098387625,43.01432907791667,6,39,32,Hermandad de Campoo de Suso,2,Campoo-Los Valles,0.6683649837887911,0.0,0.4106836465956461,0.0,41.981731,13.731416,0.9513714927251724,0.3588995641835971,0.6874254819422718,0.9493802326359826,0.0,0.5216015515973159,0.9621482477593916,0.2032292405235616,0.6374722538326347,0.9261417440052536,0.1029099470646185,0.5671401555987098,0.2800979313490374,0.2650621164348427,0.4478905630755431,0.204309995178167,0.1742673519836096
1,39059,-4.137972222,43.00105556,6,39,59,Reinosa,2,Campoo-Los Valles,0.6104678091709125,0.5780453913849004,0.6015636498378879,0.0,9.966614,1.947525,0.999831358880109,0.9487376233148516,0.975249638742678,0.9931319267626446,0.8960812901026943,0.937547687028266,0.9983341523030916,0.931731960534283,0.964569891421843,0.998567833129972,0.8979343996135919,0.958864248951548,0.2781884801290532,1.0,0.9957509541565598,1.0,1.0
1,39065,-4.01681421475,42.971345525,6,39,65,"Rozas de Valdearroyo, Las",2,Campoo-Los Valles,0.6271421954608615,0.4729041222788328,0.5807923737841593,0.0,28.537191,6.811106,0.8497426829952359,0.5395287097829268,0.692062108916114,0.8182846859509433,0.4732626359156107,0.6241218890435324,0.8535684305562503,0.5375732802537895,0.6847719652192358,0.7888431462567426,0.4944979986744044,0.6280427395447638,0.210028288937191,0.8259336553039957,0.2862685975907947,0.1688083835595306,0.661433950650612
3,39070,-4.0296227065,43.0634419525,6,39,70,San Miguel de Aguayo,2,Campoo-Los Valles,0.6702176933765632,0.3872163038443724,0.5539619152385364,0.0,36.369904,12.52742,0.7365506157222951,0.4895131839525175,0.6189013607934428,0.9421758192897772,0.6519343510298405,0.77317120117512,0.913888848958407,0.6345550131920765,0.780069761843385,0.9307058799428108,0.6107688936472978,0.7733672497244235,0.4228098420432774,0.5650569514817058,0.366527492650786,0.0,0.6532062474142736
8,39077,-4.08130293575,43.057251915,6,39,77,Santiurde de Reinosa,2,Campoo-Los Valles,0.7387679481241315,0.4210282538212135,0.595034182028717,0.274105,42.261524,15.83935,0.8482735810967846,0.6719412020834238,0.7548560781881891,0.9992633847588218,0.73492669785688,0.9075733272998016,0.9994223589068236,0.8510044589892312,0.94177946766872,0.999712452166773,0.776333519209446,0.9063819916260566,0.4165477880861318,0.4648870698554949,0.2326465411713426,0.3829194495429495,0.6983385235939008
1,39092,-4.1855281820000005,42.9057520415,6,39,92,Valdeolea,2,Campoo-Los Valles,0.5785085687818434,0.2908754052802223,0.5269434011116257,0.0,28.227594,7.237073,0.8213269955466399,0.4643618999991908,0.6617923840669185,0.998538339818956,0.6018266593186208,0.8219059159553774,0.9959217826469252,0.6723894081038977,0.8421240655512114,0.9988566514842562,0.5985263972399328,0.8347541009729634,0.0737258037198591,0.247132992668721,0.6147849443978002,0.6712948865361634,0.4197554291076941
7,39093,-4.0621042606,42.89408220333333,6,39,93,Valdeprado del Río,2,Campoo-Los Valles,0.650764242704956,0.4075961093098657,0.5431795979620195,0.0,34.415546,10.039598,0.7685942803782019,0.4647714611365292,0.5985108651168611,0.9977980915090812,0.4268253973415437,0.7390197913194175,0.9988423054309538,0.5365889134145151,0.7909976244108318,0.9905138561418336,0.4889838210631269,0.7487050874288528,0.0641139303999806,0.2740072977636191,0.2669042676817126,0.2997068722092729,0.0
