TransactionAmt,Source,Target,Date
1,39027,39059,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39075,2011
1,39027,39059,2011
1,39027,39059,2011
1,39027,39059,2011
1,39017,39075,2011
1,39017,39075,2011
1,39017,39075,2011
1,39032,39075,2011
1,39032,39059,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39075,2011
1,39032,39059,2011
1,39032,39059,2011
4,39059,39075,2011
4,39059,39075,2011
4,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39077,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
4,39065,39059,2011
1,39077,39075,2011
1,39077,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39093,39075,2011
1,39093,39059,2011
1,39093,39075,2011
1,39093,39075,2011
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39059,2012
5,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
5,39059,39075,2012
4,39059,39075,2012
4,39059,39075,2012
4,39059,39075,2012
4,39059,39075,2012
3,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39027,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39077,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39059,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39059,2012
1,39059,39075,2012
1,39070,39075,2012
1,39092,39075,2012
1,39092,39075,2012
1,39092,39075,2012
1,39092,39075,2012
1,39092,39059,2012
4,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39059,2013
1,39027,39075,2013
1,39027,39075,2013
1,39027,39059,2013
1,39027,39059,2013
1,39017,39075,2013
1,39017,39075,2013
1,39017,39075,2013
1,39017,39077,2013
1,39017,39059,2013
1,39032,39075,2013
1,39032,39059,2013
1,39032,39059,2013
1,39032,39059,2013
1,39032,39059,2013
1,39032,39059,2013
1,39032,39075,2013
6,39059,39059,2013
4,39059,39075,2013
4,39059,39059,2013
4,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39077,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39059,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
4,39065,39075,2013
3,39065,39075,2013
1,39065,39075,2013
1,39070,39059,2013
4,39077,39075,2013
1,39077,39075,2013
1,39077,39075,2013
1,39092,39075,2013
1,39092,39075,2013
1,39092,39077,2013
1,39092,39075,2013
1,39092,39075,2013
1,39092,39075,2013
1,39092,39027,2013
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39075,2014
1,39027,39077,2014
1,39027,39059,2014
1,39027,39075,2014
1,39027,39077,2014
1,39027,39059,2014
1,39017,39075,2014
1,39017,39059,2014
1,39032,39075,2014
1,39032,39059,2014
1,39032,39059,2014
1,39032,39077,2014
1,39032,39075,2014
1,39032,39075,2014
1,39032,39075,2014
1,39032,39059,2014
1,39032,39059,2014
1,39032,39075,2014
1,39032,39077,2014
4,39059,39075,2014
4,39059,39059,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39027,2014
1,39059,39059,2014
1,39059,39077,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39059,2014
1,39059,39059,2014
1,39059,39075,2014
1,39059,39075,2014
1,39059,39075,2014
1,39070,39059,2014
1,39077,39059,2014
1,39092,39059,2014
1,39092,39059,2014
1,39092,39075,2014
1,39092,39075,2014
1,39093,39075,2014
1,39093,39075,2014
4,39027,39059,2015
1,39027,39075,2015
1,39027,39059,2015
1,39027,39075,2015
1,39027,39075,2015
1,39027,39075,2015
1,39027,39075,2015
1,39027,39059,2015
1,39027,39075,2015
1,39027,39075,2015
1,39027,39059,2015
1,39027,39075,2015
1,39027,39075,2015
1,39027,39059,2015
1,39027,39059,2015
1,39027,39059,2015
4,39017,39059,2015
1,39017,39075,2015
1,39017,39075,2015
1,39017,39075,2015
3,39032,39059,2015
1,39032,39075,2015
1,39032,39075,2015
1,39032,39059,2015
1,39032,39075,2015
1,39032,39075,2015
1,39032,39075,2015
1,39032,39059,2015
5,39059,39075,2015
4,39059,39059,2015
4,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39077,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39077,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39059,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39059,2015
1,39059,39059,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39075,2015
1,39059,39077,2015
1,39059,39059,2015
1,39059,39075,2015
1,39070,39059,2015
1,39077,39075,2015
4,39092,39059,2015
1,39092,39075,2015
1,39093,39075,2015
1,39027,39075,2016
1,39027,39075,2016
1,39027,39077,2016
1,39027,39059,2016
1,39027,39075,2016
1,39027,39075,2016
1,39027,39059,2016
1,39027,39075,2016
1,39027,39075,2016
1,39027,39059,2016
1,39027,39075,2016
1,39027,39075,2016
1,39027,39075,2016
1,39017,39075,2016
1,39032,39059,2016
1,39032,39059,2016
1,39032,39075,2016
1,39032,39075,2016
1,39032,39059,2016
1,39032,39075,2016
1,39032,39059,2016
1,39032,39059,2016
1,39032,39059,2016
1,39032,39075,2016
4,39059,39059,2016
4,39059,39075,2016
1,39059,39059,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39059,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39059,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39059,2016
1,39059,39059,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39075,2016
1,39059,39059,2016
1,39059,39075,2016
1,39059,39059,2016
1,39059,39059,2016
1,39065,39075,2016
1,39070,39059,2016
1,39092,39075,2016
1,39092,39075,2016
1,39092,39075,2016
1,39092,39075,2016
1,39093,39075,2016
1,39093,39075,2016
1,39093,39075,2016
4,39027,39075,2017
4,39027,39075,2017
5,39027,39075,2017
4,39027,39075,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39059,2017
1,39027,39059,2017
1,39027,39059,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39059,2017
1,39027,39075,2017
1,39027,39059,2017
1,39027,39059,2017
1,39027,39075,2017
1,39027,39059,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39077,2017
1,39027,39075,2017
1,39027,39075,2017
1,39027,39059,2017
1,39027,39059,2017
1,39017,39075,2017
1,39017,39075,2017
1,39017,39059,2017
3,39032,39075,2017
1,39032,39075,2017
1,39032,39075,2017
1,39032,39075,2017
1,39032,39075,2017
1,39032,39059,2017
1,39032,39075,2017
1,39032,39075,2017
1,39032,39075,2017
4,39059,39075,2017
6,39059,39075,2017
5,39059,39075,2017
6,39059,39059,2017
5,39059,39075,2017
5,39059,39075,2017
1,39059,39059,2017
1,39059,39059,2017
1,39059,39059,2017
1,39059,39075,2017
1,39059,39059,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39059,2017
1,39059,39059,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39027,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39059,2017
1,39059,39059,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39059,2017
1,39059,39059,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39027,2017
1,39059,39059,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39075,2017
1,39059,39077,2017
1,39059,39059,2017
1,39059,39059,2017
1,39077,39075,2017
1,39077,39059,2017
1,39077,39075,2017
1,39092,39075,2017
4,39027,39075,2018
4,39027,39059,2018
4,39027,39075,2018
1,39027,39075,2018
1,39027,39075,2018
1,39027,39059,2018
1,39027,39075,2018
1,39027,39075,2018
1,39027,39059,2018
1,39027,39075,2018
1,39027,39075,2018
1,39027,39075,2018
1,39027,39075,2018
1,39027,39059,2018
1,39027,39059,2018
1,39027,39059,2018
1,39027,39075,2018
1,39017,39075,2018
4,39032,39059,2018
1,39032,39075,2018
1,39032,39075,2018
1,39032,39075,2018
1,39032,39027,2018
1,39032,39075,2018
1,39032,39075,2018
1,39032,39059,2018
5,39059,39059,2018
4,39059,39059,2018
6,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39059,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39059,2018
1,39059,39075,2018
1,39059,39059,2018
1,39059,39059,2018
1,39059,39059,2018
1,39077,39059,2018
1,39077,39059,2018
1,39077,39075,2018
1,39092,39075,2018
1,39092,39075,2018
1,39092,39075,2018
1,39092,39059,2018
1,39092,39075,2018
1,39092,39075,2018
1,39093,39075,2018
1,39093,39075,2018
1,39027,39075,2019
1,39027,39059,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39059,2019
1,39027,39059,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39059,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39075,2019
1,39027,39059,2019
1,39027,39059,2019
1,39027,39059,2019
1,39017,39059,2019
1,39017,39059,2019
1,39017,39059,2019
1,39017,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39075,2019
1,39032,39059,2019
4,39059,39059,2019
4,39059,39075,2019
5,39059,39075,2019
4,39059,39075,2019
1,39059,39059,2019
1,39059,39075,2019
1,39059,39075,2019
